Name;XT;Module;Channel

TE1;AI;1;1
TE2;AI;1;2
H1;AI;1;3

BURNER_SP;AO;2;1

MOTOR_ON_1;DO;3;1
MOTOR_ON_2;DO;3;2
MOTOR_ON_3;DO;3;3
MOTOR_ON_4;DO;3;4
MOTOR_ON_5;DO;3;5
MOTOR_ON_6;DO;3;6
MOTOR_ON_7;DO;3;7

MOTOR_ON_8;DO;4;2
MOTOR_ON_10;DO;4;3
BURNER_START;DO;4;4

MOTOR_ON_11;DO;4;7
MOTOR_ON_12;DO;4;8

AUGER_ON_13;DO;5;1
FILTER_START;DO;5;2

MOTOR_ON_14;DO;5;4
MOTOR_ON_15;DO;5;5
MOTOR_ON_16;DO;5;6
MOTOR_ON_17;DO;5;7
MOTOR_ON_18;DO;5;8

VIBRATOR_ON_1;DO;6;1
MOTOR_ON_101;DO;6;2
MOTOR_OFF_101;DO;6;3
MOTOR_ON_20;DO;6;4
MOTOR_ON_19;DO;6;5
VIBRATOR_ON_2;DO;6;6

AUGER_ON_22;DO;7;1
AUGER_ON_24;DO;7;2
AUGER_ON_25;DO;7;3
COMPRESSOR_ON_28;DO;7;4

AUGER_ON_26;DO;7;6
FAN_ON_27;DO;7;7

ROPE_1;DI;10;1
BELT_1;DI;10;2
MOTOR_ISON_2;DI;10;3
ROPE_3;DI;10;4
BELT_3;DI;10;5
MOTOR_ISON_4;DI;10;6
ROPE_5;DI;10;7
BELT_5;DI;10;8

MOTOR_ISON_6;DI;11;1
ROPE_7;DI;11;2
BELT_7;DI;11;3
HLEVEL_1;DI;11;4
LLEVEL_2;DI;11;5

ROPE_8;DI;12;1
BELT_8;DI;12;2
CLOSED_1;DI;12;3
ROPE_10;DI;12;4
BELT_10;DI;12;5

MOTOR_ISON_11;DI;13;1
AUGER_ISON_13;DI;13;2
AUGER_ROT_13;DI;13;3

ROPE_14;DI;13;6
BELT_14;DI;13;7
MOTOR_ISON_15;DI;13;8

ROPE_16;DI;14;1
BELT_16;DI;14;2
MOTOR_ISON_17;DI;14;3
ROPE_18;DI;14;4
BELT_18;DI;14;5
HLEVEL_2;DI;14;6
LLEVEL_2;DI;14;7

ROPE_20;DI;15;3
BELT_20;DI;15;4
OPENED_2;DI;15;5
ROPE_19;DI;15;6
BELT_19;DI;15;7
HLEVEL_3;DI;15;8

LLEVEL_3;DI;16;1

AUGER_ROT_22;DI;16;5
HLEVEL_4;DI;16;6
AUGER_ROT_24;DI;16;7
AUGER_ISON_25;DI;16;8

AUGER_ROT_25;DI;17;1
HLEVEL_4;DI;17;2
LLEVEL_4;DI;17;3
COMPRESSOR_ISON_28;DI;17;4
FAN_ISON;DI;17;5

EMERGENCY;DI;17;7

PU_START_1;DI;18;2
PU_STOP_1;DI;18;3
PU_START_2;DI;18;4
PU_STOP_2;DI;18;5
MAN_1;DI;18;6
START_1;DI;18;7
STOP_1;DI;18;8

MAN_2;DI;19;1
START_2;DI;19;2
STOP_2;DI;19;3
MAN_3;DI;19;4
START_3;DI;19;5
STOP_3;DI;19;6
MAN_4;DI;19;7
START_4;DI;19;8

STOP_4;DI;20;1
MAN_5;DI;20;2
START_5;DI;20;3
STOP_5;DI;20;4
MAN_6;DI;20;5
START_6;DI;20;6
STOP_6;DI;20;7
MAN_7;DI;20;8

START_7;DI;21;1
STOP_7;DI;21;2
MAN_8;DI;21;3
START_8;DI;21;4
STOP_8;DI;21;5
MAN_10;DI;21;6
START_10;DI;21;7
STOP_10;DI;21;8

MAN_12;DI;22;1
START_12;DI;22;2
STOP_12;DI;22;3
MAN_13;DI;22;4
START_13;DI;22;5
STOP_13;DI;22;6
MAN_14;DI;22;7
START_14;DI;22;8

STOP_14;DI;23;1
MAN_15;DI;23;2
START_15;DI;23;3
STOP_15;DI;23;4
MAN_16;DI;23;5
START_16;DI;23;6
STOP_16;DI;23;7
MAN_17;DI;23;8

START_17;DI;24;1
STOP_17;DI;24;2
MAN_18;DI;24;3
START_18;DI;24;4
STOP_18;DI;24;5
MAN_19;DI;24;6
START_19;DI;24;7
STOP_19;DI;24;8

MAN_20;DI;25;1
START_20;DI;25;2
STOP_20;DI;25;3
MAN_22;DI;25;4
START_22;DI;25;5
STOP_22;DI;25;6
MAN_24;DI;25;7
START_24;DI;25;8

STOP_24;DI;26;1
MAN_25;DI;26;2
START_25;DI;26;3
STOP_25;DI;26;4

MAN_28;DI;27;3
START_28;DI;27;4
STOP_28;DI;27;5
